1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2023,96857SDDSRWHEEL,110013286023.0,U.S. ARMY SCHOFIELD BARRACKS - RANGE FACILITY,BEAVER RD BLDG 1150,SCHOFIELD BARRACKS,HONOLULU,HI,96857,,,21.476278,-158.051778,NAD83,US DEPARTMENT OF DEFENSE,,US DEPARTMENT OF DEFENSE,,,,YES,999,Other,,,,,,,928110,,,,,,1323222006520,Lead compounds,NO,N420,N420,650002.0,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,362.7,0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11297.2,11660.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11660.074,0.0,0.0,11660.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11660.074,,ACTIVITY,0.55
2023,96707HWNND91325,110000486322.0,PAR HAWAII REFINING LLC,91-325 KOMOHANA ST,KAPOLEI,HONOLULU,HI,96707,,,21.3041,-158.0912,NAD83,PAR PACIFIC HOLDINGS INC.,186508057,PAR PACIFIC HOLDINGS INC,,,,NO,324,Petroleum,,,,,,,324110,,,,,,1323222231666,Polycyclic aromatic compounds,NO,N590,N590,649749.0,YES,PBT,NO,Non_Metal,YES,YES,NO,R,Pounds,155.996,10.907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,166.928,0.0,0.0,166.903,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.928,,ACTIVITY,0.99
2023,96720SRMYPSADDL,110009349142.0,U.S. ARMY POHAKULOA TRAINING AREA - RANGE FACILITY,SADDLE RD MILE 36,HILO,HAWAII,HI,96720,,,19.690225,-155.261913,NAD83,US DEPARTMENT OF DEFENSE,,US DEPARTMENT OF DEFENSE,,,,YES,999,Other,,,,,,,928110,,,,,,1323222006443,Copper,NO,0007440508,7440-50-8,150086.0,NO,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21712.0,21712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21712.0,0.0,0.0,21712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21712.0,,ACTIVITY,1.17
2023,96707RYNLD91320,110000486340.0,BALL METAL BEVERAGE CONTAINER CORP,91-320 KOMOHANA ST,KAPOLEI,HONOLULU,HI,96707,,,21.311415,-158.093615,NAD83,BALL CORP,006419147,BALL CORP,,,,NO,332,Fabricated Metals,,,,,,,332431,,,,,,1323221822277,Lead,NO,0007439921,7439-92-1,149583.0,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.88,0.0,0.0,0.48,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,,PRODUCTION,0.55
2023,96782WGNRT475KA,110000486420.0,HAWAIIAN ELECTRIC CO INC WAIAU GENERATING STATION,475 KAMEHAMEHA HWY,PEARL CITY,HONOLULU,HI,96782,,,21.388997,-157.961171,NAD83,HAWAIIAN ELECTRIC INDUSTRIES INC,103901773,HAWAIIAN ELECTRIC INDUSTRIES INC,,,,NO,2211,Electric Utilities,,,,,,,221112,221121.0,,,,,1323221713112,Naphthalene,NO,0000091203,91-20-3,13326.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,0.0,0.0,33.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,35.0,,PRODUCTION,1.39
2023,96707TXCBR91119,110071150665.0,ALOHA PETROLEUM BARBERS POINT TERMINAL,91-139 HANUA ST,KAPOLEI,HONOLULU,HI,96707,,,21.310595,-158.10339,NAD83,ALOHA PETROLEUM,,ALOHA PETROLEUM,,,,NO,4247,Petroleum Bulk Terminals,,,,,,,424710,,,,,,1323221827140,Xylene (mixed isomers),NO,0001330207,1330-20-7,84970.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,149.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,381.0,0.0,0.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,383.0,,PRODUCTION,0.98
2023,9678WHWNLCFTEAV,110070551029.0,HAWAIIAN ELECTRIC CO INC SCHOFIELD GENERATING STATION,FOOTE AVE,WAHIAWA,HONOLULU,HI,96786,,,21.478319,-158.05783,NAD83,HAWAIIAN ELECTRIC INDUSTRIES INC,103901773,HAWAIIAN ELECTRIC INDUSTRIES INC,,,,NO,2211,Electric Utilities,,,,,,,221112,221121.0,,,,,1323221713074,Polycyclic aromatic compounds,NO,N590,N590,649749.0,YES,PBT,NO,Non_Metal,YES,YES,NO,R,Pounds,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,,PRODUCTION,1.45
2023,96860PRLHR850TI,110055394620.0,JOINT BASE PEARL HARBOR-HICKAM HAWAII,850 TICONDEROGA ST 110,JBPHH,HONOLULU,HI,96860,,,21.348472,-157.944147,NAD83,US DEPARTMENT OF DEFENSE,,US DEPARTMENT OF DEFENSE,,,,YES,999,Other,,,,,,,928110,,,,,,1323221864046,"1,2,4-Trimethylbenzene",NO,0000095636,95-63-6,16261.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2604.0,0.0,0.0,2600.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2604.0,,ACTIVITY,1.0
2023,96819HFFCR321AL,110043729445.0,HFFC AIRPORT FUEL FARM,3201 AOLELE ST,HONOLULU,HONOLULU,HI,96819,,,21.33324,-157.91331,NAD83,,,,,,,NO,4247,Petroleum Bulk Terminals,,,,,,,424710,,,,,,1323222000895,Naphthalene,NO,0000091203,91-20-3,13326.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,30.0,0.0,0.0,11.0,19.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32.0,,PRODUCTION,1.12
2023,96720HLLGN54HAL,110000486377.0,HILL GENERATING STATION,54 HALEKAUILA ST,HILO,HAWAII,HI,96720,,,19.70467,-155.06314,NAD83,HAWAIIAN ELECTRIC INDUSTRIES INC,103901773,HAWAIIAN ELECTRIC INDUSTRIES INC,,,,NO,2211,Electric Utilities,,,,,,,221112,221121.0,,,,,1323221712995,Polycyclic aromatic compounds,NO,N590,N590,649749.0,YES,PBT,NO,Non_Metal,YES,YES,NO,R,Pounds,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,3.8,0.0,0.0,3.8,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,6.2,,PRODUCTION,0.8
2023,96720SRMYPSADDL,110009349142.0,U.S. ARMY POHAKULOA TRAINING AREA - RANGE FACILITY,SADDLE RD MILE 36,HILO,HAWAII,HI,96720,,,19.690225,-155.261913,NAD83,US DEPARTMENT OF DEFENSE,,US DEPARTMENT OF DEFENSE,,,,YES,999,Other,,,,,,,928110,,,,,,1323222006456,Lead  And Lead Compounds,YES,N420,N420,650002.0,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3158.4,3556.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3556.4,0.0,0.0,3556.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3556.4,,ACTIVITY,0.08
2023,96705KLCTR4392W,110064110652.0,PORT ALLEN GENERATING STATION,261 AKAULA ST.,ELEELE,KAUAI,HI,96705,,,21.899556,-159.585194,NAD83,KAUAI ISLAND UTILITY COOPERATIVE,,KAUAI ISLAND UTILITY COOPERATIVE,,,,NO,2211,Electric Utilities,,,,,,,221112,,,,,,1323221553530,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,0007664939,7664-93-9,152405.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,,PRODUCTION,0.69
2023,96817HNLLT933NN,110013777190.0,IES DOWNSTREAM LLC - HONOLULU TERMINAL TRANSPORTATION,933 N NIMITZ HWY,HONOLULU,HONOLULU,HI,96817,,,21.31677,-157.87523,NAD83,IES DOWNSTREAM LLC,080382788,IES DOWNSTREAM LLC,,,,NO,4247,Petroleum Bulk Terminals,,,,,,,424710,,,,,,1323222292563,Benzene,NO,0000071432,71-43-2,4754.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,,PRODUCTION,1.01
2023,96740HWNLC73424,110028014093.0,HAWAII ELECTRIC LIGHT CO INC   KEAHOLE GENERATING STATION,73-4249 PUKIAWE ST,KAILUA KONA,HAWAII,HI,96740,,,19.716,-156.03327,NAD83,HAWAIIAN ELECTRIC INDUSTRIES INC,103901773,HAWAIIAN ELECTRIC INDUSTRIES INC,,,,NO,2211,Electric Utilities,,,,,,,221112,221121.0,,,,,1323221712944,Naphthalene,NO,0000091203,91-20-3,13326.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,196.0,0.0,0.0,86.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,,PRODUCTION,0.86
2023,96707HWNND91325,110000486322.0,PAR HAWAII REFINING LLC,91-325 KOMOHANA ST,KAPOLEI,HONOLULU,HI,96707,,,21.3041,-158.0912,NAD83,PAR PACIFIC HOLDINGS INC.,186508057,PAR PACIFIC HOLDINGS INC,,,,NO,324,Petroleum,,,,,,,324110,,,,,,1323222231538,"1,2,4-Trimethylbenzene",NO,0000095636,95-63-6,16261.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,3176.73,190.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3367.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.09,0.0,0.0,0.0,0.0,0.0,0.0,29.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04,0.0,0.0,0.0,0.0,4.04,0.0,33.13,3396.294,0.0,0.0,3367.204,29.09,0.0,0.0,0.0,0.0,0.0,588.0,4.04,3988.334,,ACTIVITY,0.99
2023,96707RYNLD91320,110000486340.0,BALL METAL BEVERAGE CONTAINER CORP,91-320 KOMOHANA ST,KAPOLEI,HONOLULU,HI,96707,,,21.311415,-158.093615,NAD83,BALL CORP,006419147,BALL CORP,,,,NO,332,Fabricated Metals,,,,,,,332431,,,,,,1323221822265,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,0007664939,7664-93-9,152405.0,NO,TRI,NO,Non_Metal,NO,NO,NO,A,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2023,9672WLHPTR661KA,110041192580.0,ALOHA PETROLEUM LLC-HILO WEST TERMINAL,661 KALANIANAOLE AVE,HILO,HAWAII,HI,96720,,,19.727276,-155.05482,NAD83,ALOHA PETROLEUM,,ALOHA PETROLEUM,,,,NO,4247,Petroleum Bulk Terminals,,,,,,,424710,,,,,,1323221827203,Xylene (mixed isomers),NO,0001330207,1330-20-7,84970.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,56.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,171.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0,1.0,765.0,,PRODUCTION,1.06
2023,9670WBMTCM91271,110071433824.0,BOMAT - CAMPELL INDUSTRIAL PARK (CIP),91-271 KOMOHANA ST,KAPOLEI,HONOLULU,HI,96707,,,21.307428,-158.093706,NAD83,QUIKRETE HOLDINGS,004300406,QUIKRETE HOLDINGS,,,,NO,327,Nonmetallic Mineral Product,,,,,,,327999,,,,,,1323222203782,Lead,NO,0007439921,7439-92-1,149583.0,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.08,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082,0.0,0.0,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082,,PRODUCTION,0.82
2023,96763MLCTR1001N,110001764029.0,MAUI ELECTRIC CO LTD MIKI BASIN GENERATING STATION,1001 N MIKI RD,LANAI CITY,MAUI,HI,96763,,,20.78985,-156.9336,NAD83,HAWAIIAN ELECTRIC INDUSTRIES INC,103901773,HAWAIIAN ELECTRIC INDUSTRIES INC,,,,NO,2211,Electric Utilities,,,,,,,221112,221121.0,,,,,1323221713062,Naphthalene,NO,0000091203,91-20-3,13326.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,55.0,0.0,0.0,46.0,9.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,113.0,,PRODUCTION,0.99
2023,96793MLGNRNKIHE,110010385528.0,MAUI ELECTRIC CO LTD MAALAEA GENERATING STATION,1000 N KIHEI RD,KIHEI,MAUI,HI,96753,,,20.801363,-156.49269,NAD83,HAWAIIAN ELECTRIC INDUSTRIES INC,103901773,HAWAIIAN ELECTRIC INDUSTRIES INC,,,,NO,2211,Electric Utilities,,,,,,,221112,221121.0,,,,,1323221713151,"Benzo[g,h,i]perylene",NO,0000191242,191-24-2,40576.0,YES,PBT,NO,Non_Metal,NO,YES,NO,R,Pounds,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,,PRODUCTION,1.0
2023,96857SDDSRWHEEL,110013286023.0,U.S. ARMY SCHOFIELD BARRACKS - RANGE FACILITY,BEAVER RD BLDG 1150,SCHOFIELD BARRACKS,HONOLULU,HI,96857,,,21.476278,-158.051778,NAD83,US DEPARTMENT OF DEFENSE,,US DEPARTMENT OF DEFENSE,,,,YES,999,Other,,,,,,,928110,,,,,,1323222006506,Copper,NO,0007440508,7440-50-8,150086.0,NO,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56543.0,56543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56543.0,0.0,0.0,56543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56543.0,,ACTIVITY,0.84
2023,96792KHGNR89900,110000486439.0,HAWAIIAN ELECTRIC CO INC KAHE GENERATING STATION,92-200 FARRINGTON HWY,KAPOLEI,HONOLULU,HI,96707,,,21.344189,-158.117664,NAD83,HAWAIIAN ELECTRIC INDUSTRIES INC,103901773,HAWAIIAN ELECTRIC INDUSTRIES INC,,,,NO,2211,Electric Utilities,,,,,,,221112,221121.0,,,,,1323221713288,Polycyclic aromatic compounds,NO,N590,N590,649749.0,YES,PBT,NO,Non_Metal,YES,YES,NO,R,Pounds,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.8,0.0,0.0,5.8,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.8,,PRODUCTION,1.02
2023,96857SDDSRWHEEL,110013286023.0,U.S. ARMY SCHOFIELD BARRACKS - RANGE FACILITY,BEAVER RD BLDG 1150,SCHOFIELD BARRACKS,HONOLULU,HI,96857,,,21.476278,-158.051778,NAD83,US DEPARTMENT OF DEFENSE,,US DEPARTMENT OF DEFENSE,,,,YES,999,Other,,,,,,,928110,,,,,,1323222006518,Nitroglycerin,NO,0000055630,55-63-0,1941.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17443.0,17443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17443.0,0.0,0.0,17443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17443.0,,ACTIVITY,0.93
